avg_loss,epoch,los_group,pretrained_path,test_acc,test_ami,test_ari,test_mi,test_mmi,test_v_measure,train_acc,train_ami,train_ari,train_mi,train_mmi,train_v_measure
0.34401116165800855,1,95-percentile,,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9489698658259403,-5.5880843301423416e-05,0.0016156426849617991,2.445265916683646e-05,0.0007765884637305769,0.00023832940337951202
0.32233758226711123,2,95-percentile,,0.9449130659321742,-0.00012653100053516744,-0.00032343802435803745,9.723736516167826e-06,0.0005167873787806033,9.070482598214447e-05,0.9495564190923088,0.0020884262015305713,0.005197773249640143,0.00043777027234635736,0.025770096271720812,0.004341009518511846
0.2732500734588986,3,95-percentile,,0.9445687725942503,0.005909793454499923,0.029316236871003987,0.0013547536060223254,0.02191312773973836,0.011744401541723874,0.9513160788914143,0.02793131083671913,0.07007679823324492,0.005634646401469368,0.1006284365646542,0.05219515213414165
0.1857278275213613,4,95-percentile,,0.9395765191943536,0.018311597795853996,0.09012275632905425,0.003984921956449387,0.03237493582718728,0.02806727237384248,0.9636336974851528,0.2268551132927618,0.4449610560898129,0.04545634613319324,0.3306683802898793,0.30857703805335324
0.19929888549067074,1,95-percentile,../models/skipgram_ce_nm_ws_180_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9489698658259403,-4.7025833991672066e-05,-0.00082619169597104,2.284324145359869e-05,0.0008237827384671422,0.00022385530758358126
0.19341348360182473,2,95-percentile,../models/skipgram_ce_nm_ws_180_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9494097807757167,2.5402755389019268e-14,0.0,1.7139067942650854e-15,1.7139067942650854e-05,1.7117717485142197e-14
0.18753150823057044,3,95-percentile,../models/skipgram_ce_nm_ws_180_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9494097807757167,2.5402755389019268e-14,0.0,1.7139067942650854e-15,1.7139067942650854e-05,1.7117717485142197e-14
0.1855202149707679,4,95-percentile,../models/skipgram_ce_nm_ws_180_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9494830999340128,0.001019552233538558,0.002602065451112838,0.00021883461726498316,0.017607605161690704,0.002177233357643635
0.20201676391735393,1,95-percentile,../models/skipgram_ce_nm_ws_60_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9491898233008285,-6.222378551441436e-05,-0.0004148103307837315,1.142033112316366e-05,0.0005605997353722024,0.00011289269120110731
0.19684762554492444,2,95-percentile,../models/skipgram_ce_nm_ws_60_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9494097807757167,2.5402755389019268e-14,0.0,1.7139067942650854e-15,1.7139067942650854e-05,1.7117717485142197e-14
0.19202664484463092,3,95-percentile,../models/skipgram_ce_nm_ws_60_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9494097807757167,2.5402755389019268e-14,0.0,1.7139067942650854e-15,1.7139067942650854e-05,1.7117717485142197e-14
0.18894583238116003,4,95-percentile,../models/skipgram_ce_nm_ws_60_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9495564190923088,0.002339381751195756,0.007638245725119979,0.0004956777226559763,0.021401223821826878,0.0048852494588631215
0.20010086843341457,1,95-percentile,../models/skipgram_ce_nm_ws_360_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9491165041425325,3.6839079736198104e-05,0.0018955386899749311,3.963443931197957e-05,0.0014293140936392206,0.0003884028289552677
0.19284678155991836,2,95-percentile,../models/skipgram_ce_nm_ws_360_dim_100_epoch_1.vec,0.9450852126011362,2.609344956883967e-16,0.0,5.551115123125783e-17,5.551115123125783e-07,5.218689913767933e-16,0.9494097807757167,2.5402755389019268e-14,0.0,1.7139067942650854e-15,1.7139067942650854e-05,1.7117717485142197e-14
0.18147588653931196,3,95-percentile,../models/skipgram_ce_nm_ws_360_dim_100_epoch_1.vec,0.9433637459115166,0.0009331022671958113,0.01196489190565959,0.0002971972721560658,0.0046762833231411855,0.0025650743531860105,0.9497030574089009,0.005291396896826948,0.017596141850746136,0.0010973963659509753,0.031593154902455164,0.010640148680504495
0.17107581895846358,4,95-percentile,../models/skipgram_ce_nm_ws_360_dim_100_epoch_1.vec,0.9435358925804785,-0.00034443342942630387,0.0022630260117835915,1.997554950326731e-05,0.00036915747025254914,0.00017638206263857477,0.9513893980497103,0.044733869273157686,0.13558848040914714,0.008994702846390482,0.09950176010955793,0.07462717778589689
