los_group,test_acc,test_f1,test_precision,test_recall
95-percentile,0.9507261410788381,0.0,0.0,0.0
90-percentile,0.8057572614107884,0.7473657545276592,0.7592071141134639,0.8057572614107884
30-percentile,0.4511151452282158,0.4302485248287091,0.4463307068999806,0.4511151452282158
10-percentile,0.2752852697095436,0.22826420090613903,0.2269092407918048,0.2752852697095436
